from,to,label,sourceRelationship,sourceBaseClass,sourceDependentClass
app-cmdb-relationship-explorer,cap-enterprise-operations,Provides,,,
svc-cmdb-dependency-mapping,app-cmdb-relationship-explorer,Instantiates,,,
offering-cmdb-visibility-prod,svc-cmdb-dependency-mapping,Depends on,,,
ci-api-component,ci-api,Uses,Used by (child),API Component,API
ci-computer-room,ci-data-center-zone,Contains,Located In (parent),Computer Room,Data Center Zone
ci-image,ci-aws-datacenter,Runs on,Hosted on (parent),Image,AWS Datacenter
ci-storage-volume,ci-nfs-endpoint,Connects to,Implement End Point From (child),Storage Volume,NFS Endpoint
ci-cluster,ci-computer,Contains,Members (parent),Cluster,Computer
ci-ip-address,ci-isam-server,Depends on,Owned by (child),IP Address,ISAM Server
ci-cmdb-ci-cloud-org,ci-google-organization-folder,Contains,Contains (parent),cmdb_ci_cloud_org,Google Organization Folder
ci-ip-address,ci-hyper-v-server,Depends on,Owned by (child),IP Address,Hyper-V Server
ci-ups,ci-circuit,Depends on,Feeds (parent),UPS,Circuit
ci-circuit,ci-ups,Depends on,Fed By (child),Circuit,UPS
ci-circuit,ci-rack,Depends on,Powers (parent),Circuit,Rack
ci-rack,ci-circuit,Depends on,Powered by (child),Rack,Circuit
ci-circuit,ci-server,Depends on,Powers (parent),Circuit,Server
ci-server,ci-circuit,Depends on,Powered by (child),Server,Circuit
ci-computer-room-ac,ci-computer-room,Depends on,Cools (parent),Computer Room AC,Computer Room
ci-computer-room,ci-computer-room-ac,Depends on,Cooled By (child),Computer Room,Computer Room AC
ci-windows-server,ci-next-hop-routing-rule,Uses,Uses (parent),Windows Server,Next Hop Routing Rule
ci-cloud-hardware-type,ci-azure-datacenter,Runs on,Hosted on (parent),Cloud Hardware Type,Azure Datacenter
ci-linux-server,ci-next-hop-routing-rule,Uses,Uses (parent),Linux Server,Next Hop Routing Rule
ci-hmi,ci-scada-server,Connects to,Connects to (parent),HMI,SCADA Server
ci-ot-system-service,ci-hardware,Depends on,Depends on (parent),OT System Service,Hardware
ci-computer,ci-nas-file-system,Contains,Contains (parent),Computer,NAS File System
ci-kubernetes-node-pool,ci-logical-datacenter,Runs on,Hosted on (parent),Kubernetes Node Pool,Logical Datacenter
ci-load-balancer-service,ci-tomcat,Routes to,Distributes (child),Load Balancer Service,Tomcat
ci-hardware-type,ci-aws-datacenter,Runs on,Hosted on (parent),Hardware Type,AWS Datacenter
ci-managed-ip-network-subnet,ci-allocated-ip-address,Contains,Members (parent),Managed IP Network Subnet,Allocated IP Address
ci-solaris-virtual-machine-instance,ci-solaris-server,Runs on,Instantiated by (child),Solaris Virtual Machine Instance,Solaris Server
ci-solaris-server,ci-network-adapter,Depends on,Owns (parent),Solaris Server,Network Adapter
ci-kubernetes-namespace,ci-kubernetes-pod,Contains,Contains (parent),Kubernetes Namespace,Kubernetes Pod
ci-virtual-machine-instance,ci-alibaba-datacenter,Runs on,Hosted on (parent),Virtual Machine Instance,Alibaba Datacenter
ci-computer,ci-graphics-processing-unit,Uses,Uses (child),Computer,Graphics Processing Unit
ci-storage-cluster-node,ci-storage-cluster,Contains,Cluster (child),Storage Cluster Node,Storage Cluster
ci-router-interface,ci-juniper-firewall-device,Uses,Used by (child),Router Interface,Juniper Firewall Device
ci-storage-pool,ci-storage-server,Contains,Contained by (child),Storage Pool,Storage Server
ci-kubernetes-service,ci-kubernetes-namespace,Contains,Contained by (child),Kubernetes Service,Kubernetes Namespace
ci-resource-group,ci-nat-gateway,Contains,Contains (parent),Resource Group,NAT Gateway
ci-network-topology,ci-physical-connection,Contains,Members (parent),Network Topology,Physical connection
ci-network-adapter,ci-hyper-v-server,Depends on,Owned by (child),Network Adapter,Hyper-V Server
ci-kafka-cluster-node,ci-kafka-broker,Connects to,Connects to (parent),Kafka Cluster Node,Kafka Broker
ci-aws-cloud-ecs-service,ci-aws-datacenter,Runs on,Hosted on (parent),AWS Cloud ECS Service,AWS Datacenter
ci-network-adapter,ci-cisco-firewall-device,Depends on,Owned by (child),Network Adapter,Cisco Firewall Device
ci-aws-cloud-ecs-task,ci-aws-cloud-ecs-taskdefinition,Uses,Uses (parent),AWS Cloud ECS Task,AWS Cloud ECS TaskDefinition
ci-resource-group,ci-cloud-image,Contains,Contains (parent),Resource Group,Cloud Image
ci-logical-datacenter,ci-kafka-cluster,Runs on,Hosted on (parent),Logical Datacenter,Kafka Cluster
