id,label,type,cmdbClass,domain
cap-enterprise-operations,Enterprise Operations Capability,Business Capability,,Design & Planning
app-cmdb-relationship-explorer,CMDB Relationship Explorer,Business Application,,Design & Planning
svc-cmdb-dependency-mapping,CMDB Dependency Mapping Service,Application Service,,Service Delivery
offering-cmdb-visibility-prod,CMDB Visibility - Production,Business Service Offering,,Service Consumption
ci-a10-load-balancer,Edge A10 Load Balancer 001,Infrastructure CI,A10 Load Balancer,Network / Security
ci-a10-load-balancer-partition,Edge A10 Load Balancer Partition 001,Infrastructure CI,A10 Load Balancer Partition,Network / Security
ci-ace,Enterprise ACE 001,Infrastructure CI,ACE,Infrastructure / Other
ci-acl-endpoint,Enterprise ACL Endpoint 001,Infrastructure CI,ACL Endpoint,Infrastructure / Other
ci-aix-server,Pittsburgh AIX Server 001,Infrastructure CI,AIX Server,Infrastructure / Other
ci-api,App API 001,Infrastructure CI,API,Application / Service
ci-api-backend,App API Backend 001,Infrastructure CI,API Backend,Application / Service
ci-api-component,App API Component 001,Infrastructure CI,API Component,Application / Service
ci-api-consumer-subscription,Network API Consumer Subscription 001,Infrastructure CI,API Consumer Subscription,Application / Service
ci-api-frontend,App API Frontend 001,Infrastructure CI,API Frontend,Application / Service
ci-api-product-bundle,App API Product Bundle 001,Infrastructure CI,API Product Bundle,Application / Service
ci-avi-controller,Edge AVI Controller 001,Infrastructure CI,AVI Controller,Infrastructure / Other
ci-avi-controller-cluster,Edge AVI Controller Cluster 001,Infrastructure CI,AVI Controller Cluster,Infrastructure / Other
ci-avi-service-engine,Edge AVI Service Engine 001,Infrastructure CI,AVI Service Engine,Application / Service
ci-aws-cloud-ecs-cluster,Cloud AWS Cloud ECS Cluster 001,Infrastructure CI,AWS Cloud ECS Cluster,Cloud
ci-aws-cloud-ecs-service,App AWS Cloud ECS Service 001,Infrastructure CI,AWS Cloud ECS Service,Application / Service
ci-aws-cloud-ecs-task,Cloud AWS Cloud ECS Task 001,Infrastructure CI,AWS Cloud ECS Task,Cloud
ci-aws-cloud-ecs-taskdefinition,Cloud AWS Cloud ECS TaskDefinition 001,Infrastructure CI,AWS Cloud ECS TaskDefinition,Cloud
ci-aws-datacenter,Cloud AWS Datacenter 001,Infrastructure CI,AWS Datacenter,Cloud
ci-aws-kinesis,Cloud AWS Kinesis 001,Infrastructure CI,AWS Kinesis,Cloud
ci-aws-organizational-unit,Cloud AWS Organizational Unit 001,Infrastructure CI,AWS Organizational Unit,Cloud
ci-alibaba-datacenter,Cloud Alibaba Datacenter 001,Infrastructure CI,Alibaba Datacenter,Cloud
ci-allocated-ip-address,Network Allocated IP Address 001,Infrastructure CI,Allocated IP Address,Network / Security
ci-alteon,Edge Alteon 001,Infrastructure CI,Alteon,Infrastructure / Other
ci-apache-web-server,Pittsburgh Apache Web Server 001,Infrastructure CI,Apache Web Server,Application / Service
ci-application,App Application 001,Infrastructure CI,Application,Application / Service
ci-application-cluster,App Application Cluster 001,Infrastructure CI,Application Cluster,Application / Service
ci-availability-zone,Enterprise Availability Zone 001,Infrastructure CI,Availability Zone,Infrastructure / Other
ci-azure-ai-agent,Cloud Azure AI Agent 001,Infrastructure CI,Azure AI Agent,Cloud
ci-azure-ai-foundry,Cloud Azure AI Foundry 001,Infrastructure CI,Azure AI Foundry,Cloud
ci-azure-ai-project,Cloud Azure AI Project 001,Infrastructure CI,Azure AI Project,Cloud
ci-azure-datacenter,Cloud Azure Datacenter 001,Infrastructure CI,Azure Datacenter,Cloud
ci-azure-management-group,Cloud Azure Management Group 001,Infrastructure CI,Azure Management Group,Cloud
ci-block-endpoint,Enterprise Block Endpoint 001,Infrastructure CI,Block Endpoint,Infrastructure / Other
ci-business-application,App Business Application 001,Infrastructure CI,Business Application,Business / Service
ci-business-process,Enterprise Business Process 001,Infrastructure CI,Business Process,Business / Service
